10032.168081072863,26781.577778149353
11012.896579535412,26781.53986982192
11031.928981756137,26776.607312389297
11050.311818745797,26769.251273767073
11070.365822734517,26761.226504361013
11088.748659724177,26753.87046573879
11107.131496713837,26746.51442711657
11127.185500702557,26738.48965771051
11146.668594390363,26736.41161665367
11164.73994650551,26743.98363270042
11177.617523926714,26760.989969769693
11180.00593995526,26780.437454521107
11171.626210127315,26800.05447847387
11155.924161900826,26811.774328122003
11136.578860029083,26815.664585692637
11115.171927154763,26818.546117388458
11095.548905353302,26821.18752144296
11075.925883551841,26823.828925497462
11054.51895067752,26826.710457193283
11034.89592887606,26829.351861247786
11013.488996001739,26832.233392943624
11012.900240861723,26832.31264374555
10032.168081072863,26832.350554722874
10016.736223812042,26820.20748253582
9997.935469898739,26809.573026635717
9980.701445478211,26799.824775393936
9961.900691564908,26789.19031949381
9944.66666714438,26779.442068252025
9925.827038371552,26768.880161884357
9906.603472975761,26765.090210993443
9886.431308395171,26772.027881848004
9873.605537430876,26786.840335846355
9869.624303954313,26807.797370005737
9876.124730392057,26826.281245422142
9892.34751938441,26840.13291023408
9911.165340189502,26846.250260491353
9931.82729987846,26852.54656272455
9950.767429593338,26858.31817310498
9971.429389282295,26864.614475338178
9990.369518997173,26870.38608571861
10011.03147868613,26876.68238795179
10031.693438375089,26882.978690184966
10032.168081072863,26883.123327669644
11012.903902458238,26883.085414042525
11031.936310666168,26878.152871572056
11050.319169608914,26870.79688781109
11070.373197546456,26862.772178253676
11088.756056489203,26855.41619449272
11107.13891543195,26848.06021073177
11127.192943369491,26840.035501174378
11146.67604325886,26837.957518262367
11164.747372776199,26845.52958824074
11177.624899444092,26862.535963741426
11180.013257434073,26881.983455620673
11171.633469061648,26901.600454565112
11155.931385858823,26913.320257352425
11136.586072877148,26917.21046090374
11115.179132603265,26920.091937627592
11095.556104018873,26922.733291291122
11075.933075434481,26925.374644954652
11054.526135160599,26928.25612167852
11034.903106576206,26930.89747534207
11013.496166302324,26933.778952065943
11012.907564324958,26933.85818071215
10032.168081072863,26933.896096989563
9926.00041301683,26870.429690455894
